iter	Passed	Remaining
0	140	140757
1	141	70702
2	142	47339
3	143	35656
4	145	28893
5	145	24181
6	146	20809
7	147	18279
8	148	16310
9	148	14737
10	149	13449
11	150	12376
12	151	11466
13	151	10689
14	152	10016
15	153	9425
16	154	8905
17	154	8440
18	155	8026
19	156	7652
20	156	7314
21	157	7007
22	159	6780
23	160	6524
24	161	6286
25	161	6065
26	162	5862
27	163	5672
28	164	5496
29	164	5331
30	165	5181
31	166	5037
32	167	4903
33	168	4776
34	168	4655
35	169	4540
36	170	4433
37	171	4330
38	171	4232
39	172	4142
40	174	4091
41	175	4007
42	176	3926
43	177	3849
44	177	3775
45	178	3705
46	179	3638
47	180	3573
48	180	3511
49	181	3454
50	182	3396
51	183	3340
52	184	3287
53	184	3236
54	185	3187
55	186	3139
56	186	3093
57	187	3048
58	190	3034
59	191	2992
60	191	2951
61	192	2911
62	193	2883
63	194	2848
64	195	2813
65	196	2778
66	197	2744
67	197	2711
68	198	2679
69	199	2647
70	200	2617
71	200	2587
72	201	2559
73	202	2531
74	203	2504
75	205	2501
76	206	2475
77	207	2449
78	207	2423
79	208	2399
80	209	2376
81	210	2353
82	210	2325
83	211	2304
84	212	2282
85	212	2261
86	213	2240
87	214	2220
88	215	2201
89	215	2181
90	216	2162
91	217	2143
92	217	2125
93	220	2120
94	220	2105
95	221	2087
96	222	2070
97	223	2053
98	223	2037
99	224	2021
100	225	2006
101	226	1990
102	226	1975
103	227	1960
104	228	1945
105	229	1931
106	229	1917
107	230	1904
108	231	1890
109	232	1877
110	232	1863
111	233	1851
112	235	1851
113	236	1839
114	237	1827
115	238	1814
116	238	1801
117	239	1789
118	240	1778
119	240	1766
120	241	1755
121	242	1743
122	242	1732
123	243	1721
124	244	1711
125	245	1700
126	245	1689
127	246	1679
128	247	1669
129	248	1659
130	248	1650
131	250	1649
132	251	1641
133	252	1632
134	253	1623
135	254	1613
136	254	1605
137	255	1596
138	256	1587
139	257	1579
140	257	1570
141	258	1560
142	258	1552
143	259	1543
144	260	1535
145	261	1527
146	261	1519
147	262	1511
148	263	1504
149	264	1496
150	266	1497
151	267	1490
152	267	1483
153	268	1475
154	269	1468
155	270	1461
156	270	1454
157	271	1447
158	272	1440
159	273	1433
160	273	1425
161	274	1419
162	275	1412
163	275	1406
164	276	1399
165	277	1393
166	278	1387
167	278	1380
168	279	1374
169	282	1376
170	282	1371
171	283	1365
172	284	1358
173	285	1353
174	285	1347
175	286	1341
176	287	1335
177	288	1330
178	288	1324
179	289	1318
180	290	1313
181	290	1307
182	291	1302
183	292	1296
184	293	1291
185	294	1286
